Operator<Heat Run>
Date<27.09.2022>
Start_Time<19:38:41>
TUT_Number<1LPL22000143819>
Data	Godzina	U1 [V]	U2 [V]	U3 [V]	I1 [A]	I2 [A]	I3 [A]	P1 [W]	P2 [W]	P3 [W]	P sum [W]	I œr [A]
27.09.2022	19:38:42	1,982	0,000	2,221	0,011	0,000	0,011	-0,020	-0,000	-0,020	-0,040	0,007
27.09.2022	19:40:42	375,426	374,653	375,846	2,369	2,344	2,392	240,910	226,320	232,950	700,180	2,368
27.09.2022	19:42:42	375,424	374,635	375,836	2,368	2,344	2,391	241,390	226,860	233,480	701,730	2,368
27.09.2022	19:44:42	375,427	374,638	375,841	2,368	2,343	2,391	241,860	227,290	233,970	703,120	2,367
27.09.2022	19:46:42	375,427	374,636	375,841	2,367	2,343	2,390	242,330	227,780	234,420	704,530	2,367
27.09.2022	19:48:42	375,426	374,634	375,838	2,367	2,342	2,390	242,750	228,200	234,880	705,830	2,366
27.09.2022	19:50:42	375,425	374,632	375,834	2,367	2,342	2,390	243,140	228,580	235,310	707,030	2,366
27.09.2022	19:52:42	375,424	374,627	375,830	2,366	2,342	2,389	243,510	228,960	235,670	708,140	2,366
27.09.2022	19:54:42	375,424	374,626	375,831	2,366	2,341	2,389	243,880	229,360	236,040	709,280	2,365
27.09.2022	19:56:42	375,424	374,624	375,828	2,365	2,341	2,388	244,240	229,660	236,400	710,300	2,365
27.09.2022	19:58:42	375,423	374,623	375,830	2,365	2,341	2,388	244,550	230,030	236,760	711,340	2,365
27.09.2022	20:00:42	375,427	374,627	375,829	2,365	2,340	2,388	244,850	230,290	237,070	712,210	2,364
27.09.2022	20:02:42	375,426	374,629	375,835	2,364	2,340	2,388	245,140	230,600	237,390	713,130	2,364
27.09.2022	20:04:42	375,425	374,626	375,829	2,364	2,340	2,387	245,420	230,860	237,640	713,920	2,364
27.09.2022	20:06:42	375,423	374,623	375,830	2,364	2,339	2,387	245,660	231,110	237,930	714,700	2,363
27.09.2022	20:08:42	375,425	374,627	375,835	2,364	2,339	2,387	245,890	231,370	238,150	715,410	2,363
27.09.2022	20:10:42	375,425	374,626	375,834	2,363	2,339	2,386	246,130	231,600	238,420	716,150	2,363
27.09.2022	20:12:42	375,424	374,626	375,833	2,363	2,339	2,386	246,360	231,800	238,630	716,790	2,363
27.09.2022	20:14:42	375,425	374,622	375,828	2,363	2,338	2,386	246,570	232,040	238,860	717,470	2,362
27.09.2022	20:16:42	375,424	374,624	375,826	2,363	2,338	2,386	246,740	232,200	239,060	718,000	2,362
27.09.2022	20:18:42	375,424	374,621	375,829	2,363	2,338	2,386	246,940	232,430	239,230	718,600	2,362
27.09.2022	20:20:42	375,427	374,625	375,831	2,362	2,338	2,385	247,120	232,570	239,400	719,090	2,362
27.09.2022	20:22:42	375,423	374,621	375,827	2,362	2,338	2,385	247,260	232,780	239,570	719,610	2,362
27.09.2022	20:24:42	375,425	374,621	375,833	2,362	2,338	2,385	247,460	232,920	239,760	720,140	2,362
27.09.2022	20:26:42	375,424	374,623	375,835	2,362	2,337	2,385	247,610	233,090	239,920	720,620	2,361
27.09.2022	20:28:42	375,425	374,624	375,829	2,362	2,337	2,385	247,760	233,180	240,110	721,050	2,361
27.09.2022	20:30:42	375,425	374,622	375,832	2,362	2,337	2,385	247,890	233,400	240,250	721,540	2,361
27.09.2022	20:32:42	375,424	374,620	375,833	2,361	2,337	2,384	248,100	233,500	240,400	722,000	2,361
27.09.2022	20:34:42	375,423	374,616	375,824	2,361	2,337	2,384	248,190	233,670	240,540	722,400	2,361
27.09.2022	20:36:42	375,423	374,620	375,827	2,361	2,337	2,384	248,350	233,790	240,690	722,830	2,361
27.09.2022	20:38:42	375,422	374,615	375,824	2,361	2,337	2,384	248,500	233,940	240,830	723,270	2,360
